James,6649 N Blue Gum St,jbutt@gmail.com,['504-845-1427'],17/01/2023 04:08:57
Josephine,4 B Blue Ridge Blvd,josephine_darakjy@darakjy.org['810-292-9388'],17/01/2023 04:11:28
Lenna,639 Main St,lpaprocki@hotmail.com,['907-921-2010'],17/01/2023 04:14:25
Simona,3 Mcauley Dr,simona@morasca.com,"['419-800-6759', '419-503-2484']",17/01/2023 04:15:43
Leota,7 W Jackson Blvd,leota@hotmail.com,"['408-813-1105', '408-752-3500']",17/01/2023 04:55:46
Kiley,25 E 75th St #69,kiley.caldarera@aol.com,"['310-254-3084', '310-498-5651']",17/01/2023 05:03:12
Mattie,73 State Road 434 E,mattie@aol.com,['602-953-6360'],17/01/2023 05:03:12
James,6649 N Blue Gum St,jbutt@gmail.com,['504-845-1427'],17/01/2023 04:08:57
Josephine,4 B Blue Ridge Blvd,josephine_darakjy@darakjy.org['810-292-9388'],17/01/2023 04:11:28
Lenna,639 Main St,lpaprocki@hotmail.com,['907-921-2010'],17/01/2023 04:14:25
Simona,3 Mcauley Dr,simona@morasca.com,"['419-800-6759', '419-503-2484']",17/01/2023 04:15:43
Leota,7 W Jackson Blvd,leota@hotmail.com,"['408-813-1105', '408-752-3500']",17/01/2023 04:55:46
Kiley,25 E 75th St #69,kiley.caldarera@aol.com,"['310-254-3084', '310-498-5651']",17/01/2023 05:03:12
Mattie,73 State Road 434 E,mattie@aol.com,['602-953-6360'],17/01/2023 05:03:12
